time,open,high,low,close,SKEW �� CBOE: c,S5TW �� INDEX: c,PC �� USI: c,VIX �� TVC: c,Volume,Advance Decline Line
06/08/2009,100.87,101.02,99.42,99.89,115.22,80.85,0.896,25.67,193203744,216.5857752
07/08/2009,100.94,102.03,100.39,101.202,113.77,83.47,0.736,24.75999,220684368,222.2782487
10/08/2009,100.74001,101.22,100.27,100.99001,117.02,80.65,0.823,24.98999,130898624,220.6120797
11/08/2009,100.53999,100.61,99.46001,99.73,117.61,73.79,0.749,25.98999,157301008,216.3208927
12/08/2009,99.56,101.56,99.50999,100.8,119.64,78.23,0.812,25.45,219052368,220.3973675
13/08/2009,101.25999,101.61,100.25999,101.57001,121.85,78.43,0.81,24.70999,176449504,224.0562057
14/08/2009,101.52,101.60001,99.7,100.78999,118.75,68.75,0.745,24.26999,199691248,219.5727143
17/08/2009,98.85001,98.95,98.11501,98.31,116.58,41.13,0.972,27.89,237892624,211.3988229
18/08/2009,98.53,99.44,98.35001,99.09,118.11,49.19,0.819,26.17999,173461440,216.626952
19/08/2009,98.31,100.3,98.21001,99.96001,121.73,56.25,0.926,26.25999,192812752,219.3166672
20/08/2009,100.09,101.22,99.87,100.99001,121.53,68.75,0.682,25.09,174131248,223.6360093
21/08/2009,101.82001,103.13,101.62,102.97,122.9,86.72,0.619,25.00999,224604944,228.7935281
24/08/2009,103.39,103.95,102.59,102.96001,121.16,82.29,0.77,25.14,191278880,229.4592471
25/08/2009,103.37,104.25999,102.94,103.16,119.05,83.7,0.846,24.92,215310560,231.8500189
26/08/2009,102.84,103.64,102.49001,103.17,118.71,80.08,0.983,24.95,194620624,230.6167981
27/08/2009,103.11,103.72,101.94,103.39999,117.71,79.68,0.75,24.67999,196230000,231.8349406
28/08/2009,104.23,104.35001,102.67,103.38,117.67,76.86,0.883,24.75999,147024368,230.8746917
31/08/2009,102.37,102.58,101.78999,102.46001,120.14,58.55,0.982,26.00999,176051568,226.6603633
01/09/2009,101.95,103.24001,99.99001,100.2,118.26,30.38,0.919,29.14999,321276672,221.4968602
02/09/2009,99.78,100.44,99.57001,99.82001,118.41,26.56,0.968,28.89999,171805008,218.9027492
03/09/2009,100.39999,100.77,99.59,100.64999,119.38,37.22,0.949,27.09999,143572256,223.3897675
04/09/2009,100.85001,102.09,100.55,102.06,119.73,54.53,0.868,25.25999,142687808,228.4169663
08/09/2009,103,103.05,102.39,102.94,120.55,67.4,0.805,25.62,132909008,233.2405196
09/09/2009,103.12,104.08,102.8,103.73,120.83,74.85,0.805,24.31999,154612496,237.0107034
10/09/2009,103.8,104.86,103.22,104.78999,121.26,80.68,0.673,23.54999,162902368,241.9737245
11/09/2009,104.99001,105.3,104.28,104.77,120.23,78.47,0.874,24.14999,152383632,242.6042722
14/09/2009,103.88,105.46001,103.14999,105.28,121,83.9,0.787,23.85999,149593744,245.8277493
15/09/2009,105.45,106.11,104.75999,105.72,118.46,85.71,0.737,23.42,196795872,250.2802274
16/09/2009,106.10001,107.34,105.72881,107.32001,113.62,90.34,0.577,23.68999,206406256,256.4209386
17/09/2009,107.17,108.06,106.57001,107.16,118.95,85.31,0.47,23.64999,229170880,254.1512436
18/09/2009,107.14999,107.16,106.36,106.72,117.02,86.72,0.871,23.92,153799056,256.5161099
21/09/2009,105.89,107,105.66,106.45,119.14,84.91,0.781,24.06,151892000,253.2144081
22/09/2009,107.08,107.37,106.60001,107.07001,118.16,84.1,0.781,23.07999,143126624,257.2038308
23/09/2009,107.32001,108.03,105.99001,106.17999,117.44,76.26,0.819,23.48999,225947312,253.6441358
24/09/2009,106.41,106.64,104.55,105.00999,116.65,65.59,0.996,24.95,228636688,248.8012931
25/09/2009,104.78,105.36,104.09,104.45,118.01,55.33,0.913,25.60999,204058944,246.8771359
28/09/2009,104.85001,106.55,104.83,106.32001,119.1,78.67,0.748,24.87999,118285744,252.4092037
29/09/2009,106.50999,107.02,105.78,106,119.84,74.65,0.762,25.18999,133733808,251.1639881
30/09/2009,106.36,106.46001,104.62,105.59,120.86,64.59,0.953,25.60999,254382944,248.6436483
01/10/2009,105.34,105.73309,102.95,103,117.81,25.15,1.016,28.26999,281840640,242.9481592
02/10/2009,102.02,103.10001,101.99001,102.49001,118.55,17.1,1.137,28.67999,224748752,239.6202469
05/10/2009,102.89999,104.32001,102.60001,104.02,118.5,34.21,0.83,26.84,149874944,245.5123587
06/10/2009,104.77,106.11,104.71001,105.50999,117.82,51.11,0.552,25.7,202491008,250.9206856
07/10/2009,105.27,105.91,105.07001,105.8,117.65,51.51,0.791,24.67999,159200256,252.1967415
